,comment,quality,difficulty
 PHYS2,"Zidovska is a very nice woman, she has a sense of humor and is a good lecturer as well. Sometimes i have no idea what she is talking about, so i go to her office hours and get help. She is very approachable, and know what shes doing. Overall, a hard class, but taught well.",4.0,4.0
 PHYIIV85,"Excellent professor who's willing to devote a lot of his time helping students. We only go over the basic concepts in class so the problem sets are very difficult. 90% of the class goes to his weekly homework review sessions. The average grade on the midterms was around 50 with the highest in the low 80's, but there's a huge curve.",5.0,4.0
 PHYII1,Chaikin is awesome and is always willing to give up his own time for students. The book and HW sets are very hard.,4.0,4.0
 NURS310,I love Professor Wells. She is amazing!!! One of the best professors ever. Extremely caring and funny.,5.0,4.0
 NURSECLIN,Awesome teacher. She cares so much and really goes out of her way. Really funny too. I wish she offered more classes!,5.0,1.0
 ELEMEITAL,"awesome professor in everyway. helpful, engaging, and a fair grader. speaks in italian most of the time (unless everyone in class is clueless, then he'll tend to lean on funny hand gestures or movements to help you understand). tests are easy, so if you pay attention in class and look over the textbook, you'll get an A.  My class loves Roberto!",4.5,1.0
 ELEMITAL,"Roberto is an excellent teacher- very funny and is willing to help you with anything you need. Assigns a lot on Bb but it's not the end of the world if you don't do it. Lots of movies (and the ""falso quizzes"" were SUPER helpful)- all in all a great class, lots of fun, and I learned a TON.",4.5,2.0
 ITALII,He is an awesome prof. He makes the class fun although you will have to talk alot. Really easy grader on tests. 90 = A. Lots of quizzes and hw although he doesn't tell you the due date so one day they just vanish from blackboard. You will have to carry the book to everyday. Plus the italian building is really far from WS. Overall a great prof,4.5,2.0
 CFIIIABC1,"This guy is brave, inspirational, and honest. So many professors have adopted a singular idea and are unwilling to speak their mind.  Rechtenwald is different.  I encourage anyone who values critical thinking to study under him.",5.0,4.0
 WRITING101,"While I was in his class, I felt like Palmer really wanted me to become a better writer. Even though there's a substantial bit of reading and he's tough on participation, he definitely wants you to succeed and will help you get there. Manageable course load, and if you follow his feedback you will get a good grade.",4.0,4.0
 INTFRII,"I took Int. French II with Stella. It's clear that her first language is not English, but I thought understanding her was pretty easy. If you read and understand the lessons in the book you will be set. Make sure you study for the tests because there aren't many chances to bring up your grade. She grades easy and the workload is minimal. Recommend.",4.0,1.0
 MUSCVOIC,she is incredibly talented and does everything she can to help you better your talent. she is one of the greatest professors i have ever worked with.,5.0,4.0
 CINE320,"Coolest professor ever. So nice and hilarious comments, picked a great selection of films. Wish I could take another one of his classes; he is so smart and lets you do creative projects if you want! Fav class from college",5.0,2.0
 AMCIHISTORY,"American Cinema: Origins -1960 Lectures could drag, but Nate was incredibly intelligent and knowledgable. Always enjoyed going to lecture. Nice guy, wants students to learn and do well.",4.0,1.0
 AMHOR001,"Nate is such a great guy. He really worked his ass off for this class while also getting another degree. Very helpful, very kind. Great TA, probably the best I've had.",5.0,3.0
 465,"Enthusiastic teacher who gives tough but fair exams. Go to class and read, and you'll be fine. He prepares well for class and really cares about the subject matter ",5.0,3.0
 MICROMICR,"His midterms and finals are rough, so study for those. But otherwise, class isnt so bad. (And he cares a lot about his students)",4.5,2.0
 ORGO01,So incredibly helpful. He makes orgo so much clearer and I look foward to his reviews as a means of better learning the material (or learning it for the first time)!,5.0,1.0
 ORGO12,"spencer's the man!!! anyone who ever takes orgo 1 or 2, he's the guy to go to!!! he's better than any orgo professor you'll ever have...he really puts alot of effort and care into making sure you know the material, and still an undergrad in nyu!!!",5.0,1.0
 STAT101,Great prof. Lectures exactly from the book so you don't have to go to class. Attendance not mandatory. Quizzes (there are 2) very easy. Midterm was a bit tough but he had a very generous curve. Final was fair and he put in a lot of EC questions. Easy A and you will come to like Stat. I recommend him!!,5.0,1.0
 EPFHS101,Professor Sieburth is seriously amazing. You will work hard but feel amazing about it. He's the best teacher I've had yet. He's interested in his field and his passion instantly rubs off on all his students. I absolutely loved his class. I can't recommend him enough. He really cares about the students.,5.0,4.0
 POUND101,"Prof. Sieburth is one of the most intelligent professors you will ever have. I strongly recommend that everyone that can take his class. It is extremely work intensive and you actually need to read everything assigned to you. Other than that, he displays a genuine interest in helping you achieve success not just in the class, but in learning.",5.0,4.0
 EPFHS,I had Sieburth for my freshman honors seminar (Ezra Pound: An Introduction) and he is awesome! he knows everything and is really funny. I'm always left thinking after class. he basically rules at life and you will never be as legit as he is.,5.0,2.0
 EDU2162,This was a very useful and interesting class.  I was glad to have taken it.,5.0,3.0
 EDUDISA,This class really helped prepare me to teach students with disabilities.,5.0,3.0
 JAP01,"She is a really talented teacher. She is always there to help her students. She is available in her office and through email. She is approachable and very understanding. But like the class requires, she does go by the textbook and attendance is required. I must say she ranks  number 1 on my list for teaching Japanese. She is awesome.",5.0,2.0
 JA102,"Just take her. She is an ideal lecturer. Super nice person, crystal clear - almost transparent - lectures.",5.0,1.0
 JAPANELEM,"At first, Matsushima seems very professional, but is very patient and helpful if you need anything inside or outside of class. In language classes, the easiest teachers don't always help you learn, and I'd rather have a prof w/ high expectations than not learn the language. She may seem demanding, but is understanding and never criticizes mistakes.",4.5,4.0
 JAP001,"Seems a little strict in class, but unlike other Japanese professors, never gets mad at you for struggling and always makes a genuine effort to help you. Very effective teaching style. Smolderingly hot as well.",5.0,3.0
 JPN100,"Very helpful and fun.  She has a professional air and may seem strict, but is actually very nice in person.  The tests are ok, but there is a lot of homework.  She teaches out of the book so it's very easy to keep up.",4.5,3.0
 JAP100,"She's a lot of fun to have a class with because of her youth and understanding of modern Japanese culture. You can tell her experience from teaching comes from enjoying the learning process, and you can tell her roots are very Japanese in nature. She's a lovely teacher and outside of class a respectable person all around.",5.0,4.0
 FILM300,No Comments,5.0,4.0
 MCC1141,"Professor Gary is so sweet! What a lovely professor to take a class with. He's incredibly passionate about the subject at hand. Show interest in his lectures and try to participate, it will pay off! He's really there to help you learn, and will usually give you the benefit of the doubt. I took Hollywood Films and American Life this semester.",5.0,3.0
 ADVP001,"I'm currently taking Advanced Production with Yemane and he is by far one of the greatest teachers I've ever had at NYU and especially in film.  Never has a teacher challenged me to tell the best story possible the way Yemane has.  If you want to get the most out of your film, take Yemane's class.  He is all about story and how to implement it.",5.0,3.0
 FMTV51,"Yemane is Yemazing! It's insane how much knowledge he has about filmmaking and whenever he gives you feedback, you feel like you're the only person in the class. He has a great sense of humor and is so nice. It's impossible to not love Yemane.",4.0,2.0
 TV004,"Yemane is a great guy. Really approachable, very nice and pretty laid back. I wish he had critiqued my work more and sometimes I found his lectures a bit redundant. But I really enjoyed having him as a teacher. He'll encourage your vision but he's also realistic about it.",4.0,2.0
 SISO1,Yemane is AWESOME!,5.0,4.0
 LANGFILM,"A really nice, gentle man. Always very calm and explains things thoroughly.",4.0,2.0
 LOF001,"Most people didn't care for this teacher's lecture style, but for the most part he's alright, although he needs to track away from the book a little bit more.",4.0,1.0
 MATHPHYS,"Not the best at getting his point across, but he knows his stuff and is always willing to help you if you need it. If you have any interest in theory, I would highly recommend his class because he leans that way pretty hard. All around great guy and cares that you learn.",4.0,2.0
 PHL110,"He currently teaches at Iona College which is where I took his class.  One word: AMAZING.  This man is incredibly knowledgeable and intelligent.  His class is challenging and will push you to think.  3 papersm midterm, final and mandatory readings.  Calls on student at random to summarize.  Loved philosophy by the time I completed the semester.",5.0,5.0
 PHILPHIL,He is amazing!,5.0,3.0
 SFIIILSP,"I took this professor for SFI, II&III! He is AMAZING & hilarious. He makes learning about philosophy so much more exciting & hell of a lot easier to comprehend. He's relatively easy to take, just do the readings and take notes in his class and you'll be fine. his essays are easy too.",5.0,2.0
 SCLII,"Excellent professor with an amazing ability to understand every question you ask even if it doesn't make sense. Intimidating at first, but always helpful and clear about arguments - I recommend meeting outside of class. Passionate about subject, fair, charming - reading is necessary, as well as note-taking, but well worth it!",5.0,4.0
 LITIN101,Highly recommend,5.0,1.0
 INTERCOMM,"Very smart, sharp and challenging professor. Papers are a bit hard but she's willing to take time outside class to guide you through them thoroughly. You will do a lot of thinking in this class; you def won't be sleeping.",4.5,4.0
 COM001,"I find that people who don't like Mollie are often those who are used to being coddled by Tisch's ""everyone is an amazing writer"" attitude - she is honest, direct and hilarious, as well as immensely helpful, but don't take her class if you can't handle the possibility of being told that you're not the next academy award winning screenwriter.",4.5,4.0
 ICC001,She is hysterical and very smart.  I loved her intercultural communications class.  It's challenging but extremely interesting so you want to work hard.,4.5,4.0
 INTCU101,Hermione Granger meets her match in Noor Al-Qasimi. Was not very interested in the subject before the class but she really piqued my interest. Great sense of humor and incredibly intelligent; definitely take her class if you have the chance!,4.5,4.0
 COMMGEND,"i have to thank her for a lot for the things she has thought me since knowing her.not only is she a wonderful professor,but she explains things properly.all in all she is a star...",5.0,4.0
 INTERCULT,"Noor is a character. She's one of the smartest teachers I've ever had, sometimes too smart for her own good. Initially she comes off very aggressive and angry, but she's actually a very nice, fun woman who really cares about her students. She's very blunt and very funny when she lets her guard down. Great professor.",4.5,4.0
 CB1,All in or nothing in his class Great professor! Make sure to take note in his class!,5.0,5.0
 CONBE1,"great professor, very helpful, easily the most useful class I've taken.",4.5,2.0
 SMAN1,Dr. Igel is one of the best teacher's I've had at NYU as well as anywhere else.  He is not someone who has learned Sports Business through a textbook and that is evident.  He knows from first hand experience what he is talking about and everyone respects that.,5.0,2.0
 STATS101,"His midterms and final are pretty much exactly as the samples he gives. If you pay attention and study a little, you'll do great.",5.0,2.0
 STATS6CRD,"had him for the 6 credit stat course.  took micro 1st semester, this second semester, so  I thought it would be a cakewalk.  Not so much.  Class starts out easy, then gets INTENSE!  He prints out booklets for each topic that he writes himself, which are much better than text, which is awesome.  Very funny, and grandfatherly.  Tough hw and class.",4.5,5.0
 STATSC22,The most brilliant stats professor you'll ever have. He makes the repetitive nature of stats seem more interesting than it is. He also never hesitates to help any student in need. His midterms are fair and he allows students to bring in 3 pages of notes into the midterms - much more than anyone really needs. he is truly amazing,5.0,1.0
 STAT1,No Comments,5.0,1.0
 STATS1,"Great choice for a stats prof. Homework, Project, and midterm were all very easy and you should get a good grade on all. Final was a little tougher, but if you go to class he hints as to what will be on the exams.",4.0,3.0
 PHILUA40,great TA,5.0,4.0
 ETHICS1,"Scheffler is very kind and intelligent. His lectures are clear and organized. The course is not exactly easy, but you can do well with effort. One of the best philosophy professors.",5.0,2.0
 POLPHIL,"Scheffler's class was brilliant. He's an amazing speaker, clear as crystal, pretty funny, and incredibly patient during lecture and after class if you ever have questions. Treats students like adults and has a lot of great things to say about ethics, etc. Blame the TA's for poor grades - Scheffler is ace!",4.5,3.0
 POLITPHIL,"Good lecturer.  Witty, clear, articulate.  Great at breaking down the material so it's easily understandable.  Fair grader.  Not for those looking for an easy A.  A must for those heavily interested in Political Philosophy.",4.5,3.0
 HIST1010,she is the best teacher ever and she is clear when speaking to the class,5.0,1.0
 HIST002,"Thoughtful and intelligent TA. Very knowledgeable. Brought depth to the subject  Has a deep streak of sadism, however. Comments on assignments and in class were often cruel without being constructive. Occasionally made personal attacks.",4.0,4.0
 INTER004,"Ronak expects a lot of his students. Attendance is mandatory and every assignment is necessary. If you're willing to put in the work then he'll be best TA you'll ever have; always answered questions, willing to help, makes interesting topics all the more interesting.",5.0,3.0
 INTER002,"I took Intersections: Race, Gender and Sexuality with him and he's an amazing TA.  Super smart and totally knows his stuff.  You can tell he's really passionate about stuff, and he kept us on our toes. Not to mention that he's super cute too.  Definitely take him if you can.",5.0,3.0
 ARAB1XXX,Professor Bahoora was an awesome professor. Learned a lot in his Intro to Arab and Islamic Civilizations.  Recommend his class.  Class was always interesting,5.0,3.0
 LOGIC101,"He knows his stuff and is very helpful if you take the time to ask for help. Logic is not an interesting class, but it's required and he makes it understandable and is a fair grader. He even made the mid term worth less when a large portion of the class performed badly. Good guy i would recommend him",4.5,4.0
 PHILO201,"Philosophy of language professor.  Does a great job of explaining extremely difficult topics ranging from intention based theories of meaning to conversational implicature.  You will read everything from Quine to Donnellan.  A couple of short papers and a final determine your grade.  Fairly difficult to get an A, but hard to get lower than a B.",5.0,3.0
 ENG200,had him for literary interpretation. great professor. he definitely cares about his students. he goes on tangents every now and then but he's an interesting and intelligent man.  definitely learned a lot in his class.,5.0,1.0
 AMLITI,how can they rate it the second week of class? wait it out. moby dick rocked my semester.,5.0,3.0
 LING001,"He's awesome- there's a huge difference between learning Spanish and learning how to teach it.  He really gives you great pointers.  There's homework due every week but it doesn't take too long.  One project which he gives great feedback on and 3 exams- 1 take home, the other 2 he gives you the questions the week before.  Loved this class!",5.0,3.0
 ITSS101,"I learned a lot beyond Shakespeare & Brecht. We explored various genres of theatre from Artaud, to In Yer Face theatre, to African American theatre and etc! There was alot of reading, but mainly plays that I enjoyed. Savianna was interesting, funny and definitely understanding. Reading & attendance are a must!I definitely recommend.",5.0,2.0
 EUROTSE,"This class changed my world! Saviana exposed me to the type of theater I wanted to create and didn't know was out there. She is very enthusiastic, knowledgeable, and engaging. Unlike many teachers who disregard the students opposing ideas she adores it! Amazing Professor Would Take a class from her again!!!!!",4.5,4.0
 TSEURO,"Saviana's class, if a bit eccentric, was extremely enlightening, with seldom a dull moment. The required readings were enjoyable and interesting. Classes always involved vibrant discussions for those willing and prepared to participate. I enjoyed the class immensely and came away having learned a great deal. She is a teacher I am glad to have had.",4.5,1.0
 ENGLUA190001,"Dr. Wong is great. She is very precise and clear in her discussions. She writes everything on the board which makes it easy to take notes on what's important. She is polite and opens up more and more as class continues, and is more than happy to help with papers. Highly recommend!",5.0,3.0
 ENG0712,"Shirley made a really hard class (Critical Texts) understandable and interesting. She's also SOOO nice, always available for extra help, and encourages creativity. Love!",5.0,3.0
 POLUA796,"Denoon will challenge you and his course was difficult, but his class is worth it. The readings were intense and you had to read them in-depth since Denoon asks specific questions about them. Grading is heavily weighted towards a very long final paper, so if research projects or participation aren't your thing, I wouldn't recommend this class.",4.0,4.0
 POLGA2774,Class largely assesses reading comprehension and ability to support one's arguments unambiguously using course materials or other related works. One of the more open-minded and tolerant professors I have had. Allows all students to speak and seriously considers their viewpoints.,5.0,4.0
 AMERICANEMPIRE1,"Amazing professor, hard class, very challenging but very very worth it",5.0,4.0
 IPEPB101,"Denoon class is quite good for a PacBasin PE overview.  Class is well structured, readings are good, and he keeps discussion on point.  He is upfront with his opinions and will challenge students views.  (The more timid students have issues with the latter point.)  Always was available outside of class for considerate feedback.",5.0,2.0
 AEPOL,"Denoons a gr8 guy (watch out, NYU, hes conservative) & his class is structured 2 make u learn n get a clear-cut picture of the ""opposing argument"" - he's big on those. His book's awesome, his class was fun - after he got to know us - and he makes the seminar interesting & intense. He's also willing to write you a rec, & trust me, u want 1 from him.",4.5,2.0
 ITALAKD,"Carolina DeLuca is one of the best teachers I have ever had! She's clear, extremely knowledgeable, and fair. She is super nice but, don't take advantage of that-she's no fool and she'll see right through your bull. She really cares about teaching and obviously loves her job. She is a compassionate person of outstanding moral character. +she's a fox",5.0,3.0
 ITAL3,No Comments,4.5,3.0
 LIT444,Brilliant Woman,5.0,1.0
 ITA201,amazing teacher. one of the best i've ever had,4.5,3.0
 ITALI201,Great teacher makes learning Italian lots of fun.,5.0,2.0
 PSYCH201,If you do the work she'll give you an A. She jokes about not liking to give them out but its more that she doesn't like to give them out without them being earned.,4.0,3.0
 INTRMMACR,"A good teacher covering an intermediate level topic. If you attend lectures and read the book, you will be fine. Curves are generous and he knows what he's talking about so he can actually answer questions. The people that take his class as a joke are the ones who end up doing poorly on test day.",5.0,2.0
 INTERNATI,International Economics was a piece of cAke with this guy. :D,5.0,1.0
 INTRNECON,"Easy class, easy A. :)",4.5,1.0
 MACRO000,"The material is not so easy and you need to work hard to do well.  It's definitely not a light class where you can just coast through and expect an A.  Jordan is really a great teacher and one of the most informative, knowledgeable and clear people I have encountered at NYU.  If you want to learn and work hard, this is a great class.",5.0,5.0
 INMAC10,"Overall good teacher. Tests can be tough, but he prepares you pretty well.",5.0,4.0
 INTERMACR,"Virgiliu is not exactly a ball of fun, but he's very straightforward and clear. Solid professor. Hw and quizzes required from time to time. Grades are curved.",4.5,3.0
 INTMACR,"He is such an informative and exciting professor. He is extremely knowledgeable and is so helpful one on one. He is also great to look at, great head of hair!",5.0,2.0
 INTECON,Awsome Awsome Awsome...Easy A dont have to go to class,5.0,1.0
 RRACE1,"Took her for ""Reading Race & Representation,"" by far best class taken at NYU,wishing it could be mandatory so that everyone could learn more about today's critical racial issues. Extremely intelligent, adorable, generous and will always have you leaving the classroom with something essential to know about our society, culturally speaking.",5.0,3.0
 ENGROFW,"the most down-to-earth prof. i've had at nyu.  distills theoretical texts to their bare components so that the concepts are understandable.  great syllabus -- both ""lit."" and theory were interesting and relevant.  prof. parikh is both smart and approachable.  definitely take her!",4.5,2.0
 SCA0368,Took Reading Race and Representation with her. Great class! Relatively easy grading and work load. Very friendly.,4.5,2.0
 ANIMALHUMANS,AMAZING,5.0,1.0
 FREN30,"She seems very serious and cold at first, but she warms up. She's actually really funny, in a quiet, somewhat cynical way. May seem like a fair amount of work, but it's all very manageable (short essays on easy topics, online grammar, easy stuff). By the end of the semester, I looked forward to coming to class. Plus she sometimes brings treats!",5.0,2.0
 REN0005,"Professor Schneider made me want to study art forever.  She is very enthusiastic about the material, and very knowledgable.  She gives clear instructions in class.  Her exams are incredibly reasonable. You need to study to get an A.  She comes across as very genuine.  I'd recommend her to anybody.",5.0,3.0
 RENAIART,"Professor Schneider is one of the best teachers I've ever had. She is excited by the material, and it really comes through during lecture.  She is open and responsive to students.  The class is really interesting and she tries to make assignments fun for students.  She is very clear with expectations and  very organized.  Recommended!",5.0,3.0
 WRIT202,"best writing professor i've ever had. really funny & quirky & cool. she gives interesting readings & is really helpful so you can improve your work. if you do the readings/essay assignments & go to class, it's a pretty easy A!",4.5,3.0
 WRITI003,"Wabuke is extremely helpful and will accept any late assignments. Her class is very fun, and interesting. She is an amazing teacher, and you will be able to write any essay after her class. She tells students exactly what she wants, but the class is a lot of work. If you like writing, this is the class for you. One of my favorite classes this term!",4.5,3.0
 DIS7521,She loves the subject but there is a lot of work and the papers take a lonnnnnnnnng time to write. Shes very understanding though.,5.0,3.0
 MICRO1,Very helpful passionate about subject. He tends to talk alot but if you attend the class he reinforces the material and is very thorough in his explanations,4.5,3.0
 BIOLGA1122,"This was one of the best courses I've ever taken. Nikolai is passionate and takes the time to get you to understand the logic of experimental design. Many concepts carried over to my other courses. As noted, his lectures are long but he reinforces concepts you need to know throughout the semester. Excellent course and great professor.",4.5,3.0
 ADVANCEDTV,"I've had him twice now - Class with James is a must for DDW! He is definitely the most articulate, grounded prof in the dept. that I've had. He is a stickler for being present and on time, but if you get to know him he's really nice! Even if you are not a TV concentrate, taking class with him will make your writing better.",5.0,2.0
 TV1,"Knowledgeable professor. The material lends itself to dryness, because much of it is a repeat of material studied in several other MCC classes. Not a demanding course if you stay on top of the materials and screenings. I enjoyed the class, her structuring of the class and her dry wit.",4.5,2.0
 TVHH001,An all around great teacher and a fun and funny guy. The work isn't easy but it pays off because you learn a lot.,5.0,4.0
 CRAFT003,"JFelds is the best craft teacher. He doesn't always teach this class, but freshmen, if he's available take him. He has lots of great stories, AMAZING at fixing story problems, completely fair. He picks good plays and screenplays to read too. Just don't disappoint him by not doing reading or assignments. A disappointed JFelds will haunt you.",5.0,3.0
 TVSIT1,James is a great teacher.  He is amazing and hilarious and extremely knowledgeable about Television and the industry.  He gives advice that is crystal clear and head-on.,5.0,3.0
 TVSITC,"James definitely knows writing for television, and it's like his one mission in life to mold you into someone who writes better TV. He's fair, intelligent and devoted. He puts so much time and energy into critiquing everyone's scripts. Plus, his insider stories are hilarious and he's just an all around great guy. You won't regret taking his class.",5.0,2.0
 DEVTH101,Ravitz was a brilliant and interesting professor. His lectures were intriguing and filled with fantastic stories and examples. I highly recommend his Developmental Theories class. He is more than a fair grader and wants you to do well and learn a lot.,5.0,3.0
 DIVORCE,"If you liked Dev. Theory try Ravtiz's Divorce in America class. Slide-based lectures, jam- packed with his personal stories and the tales and triumphs of his ridiculous patients. Exams are either based directly off the slides, or he will give you a question set. Take this class and learn to fix your relationships and engage in healthier new ones.",5.0,1.0
 DEVTHEORY,"Extremely engaging lecturer with a lot to say about everything. He is really into art and film and brings it into the psychology class, yet he keeps everything simple and practical. A great way to learn, though it may feel too easy for some.",4.5,2.0
 DEVEL11,"Excellent professor, best on at NYU. Totally for real about everything. Take his developmental class",5.0,3.0
 DEVTH1111,"Developmental Theory&Human Motivation was the BEST class! He's a really successful teacher and gives extremely engaging, enjoyable and informative powerpoint-lectures! Post's the powerpoints online for you, loves movies and loves to share personal anecdotes. He's a fair grader, do the work, pay attention and you'll get A's on your papers, too!",5.0,1.0
 SOC111,"She was right on top of things! Led me through the curriculum like she was born to teach. Would have appreciated a bit more performance feedback, but overall a solid, hard-working, dedicated, erudite star in her field-versatile and a consumate risk-taker. Highly recommended!",5.0,1.0
 FASHNPOWR,class was sometimes interesting but it was a mistake to take. tons of reading and work every week. tons of field research for a huge paper at the end. no tests but a lot of responses and field work. shes crazy into the subject but everything comes from the readings. has nothing to do with comm so i dont know why its an ILA - all sociology.,4.5,5.0
 LATININTR,"Lisa is probably my favorite teacher ever! Especially in the nyu classics dept. She is hilarious, helpful, extremely intelligent and just generally likable.",4.0,3.0
 INTMIMICR,"He is very helpful, but in class it's good to attend because of the definitions he uses. Recitation wasn't too helpful. I learned majority of the topics through the textbook. He's cool and nice but you need to put work a good amount of work into this class.",4.0,4.0
 INTERECON,I enjoyed him as my economics professor. He's very knowledgeable and  doesn't try to give students a hard time with the homework and exams. I highly recommend him.,4.0,3.0
 MECON000,"Good looking eastern European guy who is charming and fun to be taught by. He was a new teacher, but I can assure you he is intelligent (he has a degree from Standford and Princeton!). Very approachable, tests are fair, and he rarely takes attendance. Take his class, it's fun!",4.0,4.0
 THEA3010,"Dmitry is such a great teacher, he cares about his students and his knowledge of theater is incredible. I found as an actor I got very good feedback that helped me grow. Loved his class!!",5.0,3.0
 THEAT719,Took his class in Russian drama a while ago.  Awesome!  Dmitry REALLY knows what he's talking about.  He cares about students too.,5.0,5.0
 UT719,A very engaging lecturer. I've been learning a lot about theater.,4.0,4.0
 THEA101,"really interesting lectures in my opinion. Not too difficult, incredible knowledge and passion for what he teaches.",4.5,3.0
 THEA719,I love this class.,5.0,5.0
 DRAMAH28,Awesome!,5.0,5.0
 THEAT1,Loved it!!!,5.0,5.0
 THEAH28,Russian Directors rules!,5.0,4.0
 RUSDRSEC1,Really knows what he's talking about and cares about teaching.,5.0,5.0
 RUSDR01,This guy makes a subject I had little knowledge of or interest in (i came in only having a bit of knowledge on Stanislavski) one of the most enjoyable and interesting theater studies classes I have taken.  Look forward to taking another class with him.,4.0,2.0
 THEH28,Excellent,5.0,5.0
 THEATSEC1,The best class I ever took at Tisch.  I really recommend it.  He's demanding but fun. I learned so much about theatre.,5.0,4.0
 THEATH28,No Comments,5.0,4.0
 RUSSITHEA,"Great professor. Fabulous knowledge of the subject material. He expects a lot from you, but if you do the work and come to class, you should have no trouble.",4.0,4.0
 BEHAVECON,Very good professor,5.0,2.0
 CSCI480,Good professor and most of the homework and things to do is not too difficult. Very responsive on Piazza. Only knock is that midterm you get 1 cheat sheet but on final you get 1 despite it covering both midterm material and material after the midterm.,4.0,4.0
 ECON351,I loved Labor Economics. Prof. Thom is extremely engaging. He talks really loudly and encourages participation so you never find yourself dozing off or staring into space. and if you do its okay because he posts all the lecture slides online. He's really clear and gives a lot of practice. It's not an easy A but he gives you everything you need,5.0,3.0
 ECON4O5,"Don't let this man's toughness and seemingly unkind appearances fool you. He cares deeply for his students. He wants to see students manifest growth. Having said that, you should know clearly that he expects you to do lots and lots and lots of work without acting like a mewling quim. His philosophy is simple: you get the work done, you get rewarded",5.0,5.0
 ECONSTAT,"Kevin Thom is a really good professor.  He posts his slides online after class every day, so you dont need to buy the textbook. 3 midterms, but drops the lowest one and his curves are extremely generous.  On the second test I got a 75% but that curved up to a B+.  Easy final. No Homework",4.5,2.0
 FDSCI001,"Tests are definitely tricky, but not impossible. Lab is half ur grade so make sure you do well there. As far as the text book goes, just buy a used old edition and save a lot of money. Her voice is annoying though...",4.0,3.0
 FFS000,"Great professor; her lectures were interesting and she is just an adorable person. Make sure to take notes during lectures, since she says a lot of things that are important to the exams. The powerpoints she gives alone are not enough! Textbook wasn't necessary for the lecture, but is needed for the lap portion.",4.0,3.0
 INTROFOOD,"She was a very sweet professor, and very willing to help or answer any questions you have. Her tests were fairly easy if you study, plus there was always extra credit.",4.5,2.0
 HISTDT,I took Mod american drama and History of Drama 1 with Roger Oliver. Attendance is not mandatory but I always felt guilty missing a lecture. He's great- he loves the subjects and he likes teaching. Not a very interactive class but he knows so much! Pretty easy grader too. Definitely recommend.,5.0,2.0
 MODBRDRAM,"One of the best professors I've had at NYU. His lectures are always interesting, sometimes more than the plays themselves, so even though attendance isn't mandatory I highly recommend going. Midterm, final, paper. Cute little man, too.",4.5,2.0
 THEATHIST,"I absolutely love Professor Oliver!! Attendance is not mandatory but I rarely missed his 9:30am class.  He does not pressure anyone to talk, there are no frivolous quizes, and he does not trick his students.  He went to Stanford and knows everything about theatre.  He is so passionate, and while  if you sit and listen you will learn so much!",5.0,3.0
 DRAMA101,"While it is easy to get a good grade, you cannot help but learning in his classes.  To the reviewer who claimed he wandered in his lectures, this may be true, but it was always to the point, which is getting the most out of these texts.  He's great, take his classes!",4.5,1.0
 PSYCHGA2041,"Gans is good but she could be a better lecturer. Asks questions and the same people answer always, the conversation becomes one sided. ",4.0,4.0
 NEGOTIATION,"One of the best classes I've ever taken. Kelly is a professional, super nice and helpful! Class meets once a week  so attendance is a must. It's 2h 45m, but goes it super quick. A negotiation is held almost every session. As for assignments, there is a midterm exam, midterm paper, and a final paper. Fair grader, and you get lots of feedback. ",4.0,2.0
 CCN2159,"Excellent professor - interesting, engaging, clear.",4.5,2.0
 ORGAN001,"Very nice professor, and very helpful. Lectures from slides, but often makes the class interesting by using activities and exercises. Midterms are straight from the slides. Besides exams, only a paper and a final project, both of which are not very difficult. Overall very good professor.",4.0,2.0
 ECON500,Great prof that cares about the students and will go the extra mile to put them in a position to succeed.,5.0,2.0
 OARTUT701,"Took for History of Dance and Why Dance Matters, both very interesting even if you have no dance background. There were some field trips to see dance companies, and quizzes are just memorization of the lectures.",5.0,4.0
 DANCE001,"Took her class as a gen ed-- what a great teacher! One of the best I've had at NYU. Well thought-out lectures, assignments that were challenging but reasonable, and she is just so fun and open and passionate about dance. I think she took the time to acknowledge every student personally. Just a great teacher, you will learn so much.",5.0,4.0
 DANCEHIS,"I am not a dance major or minor, but I enjoyed this class SO much.  She's so funny and dramatic and explains everything very well, although she can talk pretty fast.  She shares a lot of anecdotes as well about her experiences with dancers and dance buffs, which are very interesting.",4.5,3.0
 MATH3711,"Great lecturer, accessible outside of teaching hours. Gives good feedback to assignments.",5.0,4.0
 COREUA515,"Her class was life changing, not only for me, but from what I've heard, all the other students in the lecture. At first she did seem dull, but her way of narrating history is precise, engaging, clear, and also especially objective. There was no textbook which was refreshing, and the primary materials were fascinating, inspiring, and dense.",5.0,3.0
 CC01,"New World Encounters is all about the TA's. Don't worry about talking to Lane, you need to kiss up to whoever is running your recitation. Lane is very monotone, so try your best to stay awake (it's tough). Don't underestimate the readings and invest in a study group!",4.0,2.0
 FOL1,"Cyrus is my academic mentor and lit professor. His phenomenal classes on the epic and drama traditions give you the cultural foundation to appreciate art and life more critically. That being said, the workload for his class is quite heavy; 100+ pages reading/ class, submitted 100+ pages of notes + two 10-paged essays for the sem.",5.0,4.0
 BIO26,"Prof. Christiaen was an amazing professor - the material for his portion of dev bio was really difficult, but he was really great at breaking down concepts and making them relatively simple to understand. He's also very funny. Textbook wasn't necessary, but helped. Tests were difficult but fair - pay attention in lecture and re-watch recordings.",5.0,4.0
